127.0.0.1 - - [21/Jun/2021:14:19:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:19:58 +0530] "GET /SpringFileUpload/WEB-INF/classes/com/journaldev/spring/controller/FileDownloadController.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:20:47 +0530] "GET /SpringFileUpload/download HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:20:51 +0530] "GET /SpringFileUpload/download HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:20:52 +0530] "GET /SpringFileUpload/download HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:20:52 +0530] "GET /SpringFileUpload/download HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:20:53 +0530] "GET /SpringFileUpload/download HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:20:56 +0530] "GET /SpringFileUpload/download HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:21:49 +0530] "GET /SpringFileUpload/download HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:29:24 +0530] "GET /SpringFileUpload/download?file=dread HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:30:11 +0530] "GET /SpringFileUpload/download?file=dread.jpeg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:30:47 +0530] "GET /SpringFileUpload/download?file=default.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:30:49 +0530] "GET /SpringFileUpload/download?file=default.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:31:50 +0530] "GET /SpringFileUpload/download?file=default.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:32:19 +0530] "GET /SpringFileUpload/download?file=default.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [21/Jun/2021:14:32:24 +0530] "GET /SpringFileUpload/download?file=default.jpg HTTP/1.1" 404 682
